n_games,score,best,avg,epsilon
1,1,1,1.0000,79
2,1,1,1.0000,78
3,1,1,1.0000,77
4,0,1,0.7500,76
5,1,1,0.8000,75
6,1,1,0.8333,74
7,2,2,1.0000,73
8,1,2,1.0000,72
9,1,2,1.0000,71
10,1,2,1.0000,70
11,1,2,1.0000,69
12,0,2,0.9167,68
13,0,2,0.8462,67
14,1,2,0.8571,66
15,1,2,0.8667,65
16,1,2,0.8750,64
17,1,2,0.8824,63
18,3,3,1.0000,62
19,2,3,1.0526,61
20,1,3,1.0500,60
21,2,3,1.0952,59
22,1,3,1.0909,58
23,0,3,1.0435,57
24,0,3,1.0000,56
25,1,3,1.0000,55
26,2,3,1.0385,54
27,2,3,1.0741,53
28,1,3,1.0714,52
29,1,3,1.0690,51
30,1,3,1.0667,50
31,1,3,1.0645,49
32,1,3,1.0625,48
33,1,3,1.0606,47
34,1,3,1.0588,46
35,4,4,1.1429,45
36,1,4,1.1389,44
37,3,4,1.1892,43
38,1,4,1.1842,42
39,1,4,1.1795,41
40,1,4,1.1750,40
41,1,4,1.1707,39
42,2,4,1.1905,38
43,1,4,1.1860,37
44,1,4,1.1818,36
45,1,4,1.1778,35
46,0,4,1.1522,34
47,3,4,1.1915,33
48,1,4,1.1875,32
49,3,4,1.2245,31
50,3,4,1.2600,30
51,1,4,1.2549,29
52,9,9,1.4038,28
53,3,9,1.4340,27
54,5,9,1.5000,26
55,2,9,1.5091,25
56,1,9,1.5000,24
57,3,9,1.5263,23
58,1,9,1.5172,22
59,2,9,1.5254,21
60,11,11,1.6833,20
61,3,11,1.7049,19
62,2,11,1.7097,18
63,1,11,1.6984,17
64,4,11,1.7344,16
65,2,11,1.7385,15
66,9,11,1.8485,14
67,24,24,2.1791,13
68,7,24,2.2500,12
69,3,24,2.2609,11
70,4,24,2.2857,10
71,2,24,2.2817,9
72,4,24,2.3056,8
73,5,24,2.3425,7
74,13,24,2.4865,6
75,19,24,2.7067,5
76,15,24,2.8684,5
77,7,24,2.9221,5
78,17,24,3.1026,5
79,12,24,3.2152,5
80,19,24,3.4125,5
81,15,24,3.5556,5
82,23,24,3.7927,5
83,27,27,4.0723,5
84,7,27,4.1071,5
85,35,35,4.4706,5
86,1,35,4.4302,5
87,25,35,4.6667,5
88,15,35,4.7841,5
89,20,35,4.9551,5
90,9,35,5.0000,5
91,26,35,5.2308,5
92,7,35,5.2500,5
93,20,35,5.4086,5
94,6,35,5.4149,5
95,27,35,5.6421,5
96,28,35,5.8750,5
97,10,35,5.9175,5
98,8,35,5.9388,5
99,5,35,5.9293,5
100,19,35,6.0600,5
101,9,35,6.0891,5
102,20,35,6.2255,5
103,20,35,6.3592,5
104,33,35,6.6154,5
105,43,43,6.9619,5
106,10,43,6.9906,5
107,7,43,6.9907,5
108,11,43,7.0278,5
109,55,55,7.4679,5
110,4,55,7.4364,5
111,10,55,7.4595,5
112,9,55,7.4732,5
113,18,55,7.5664,5
114,12,55,7.6053,5
115,22,55,7.7304,5
116,24,55,7.8707,5
117,9,55,7.8803,5
118,19,55,7.9746,5
119,26,55,8.1261,5
120,21,55,8.2333,5
121,14,55,8.2810,5
122,6,55,8.2623,5
123,2,55,8.2114,5
124,19,55,8.2984,5
